repeater,n_bursts,searched,best_period_days,z2,fap
FRB20180916B,19,True,16.326,33.4,7.21e-06
FRB20180814A,11,True,2.792,9.4,7.57e-01
FRB20181119A,3,False,,,
FRB20181128A,3,False,,,
FRB20180908B,2,False,,,
FRB20181017A,2,False,,,
FRB20181030A,2,False,,,
FRB20190116B,2,False,,,
FRB20190117A,2,False,,,
FRB20190208A,2,False,,,
FRB20190209A,2,False,,,
FRB20190212A,2,False,,,
FRB20190213A,2,False,,,
FRB20190222A,2,False,,,
FRB20190303A,2,False,,,
FRB20190604A,2,False,,,
FRB20121102A,1,False,,,
FRB20190417A,1,False,,,
